Date,Open,High,Low,Close,Adj Close,Volume
10/2/2020,3338.939941,3369.100098,3323.689941,3348.419922,3348.419922,3961550000
10/5/2020,3367.27002,3409.570068,3367.27002,3408.600098,3408.600098,3686920000
10/6/2020,3408.73999,3431.560059,3354.540039,3360.969971,3360.969971,4443380000
10/7/2020,3384.560059,3426.26001,3384.560059,3419.439941,3419.439941,3807830000
10/8/2020,3434.280029,3447.280029,3428.149902,3446.830078,3446.830078,3856190000
10/9/2020,3459.669922,3482.340088,3458.070068,3477.139893,3477.139893,3939060000
10/12/2020,3500.02002,3549.850098,3499.610107,3534.219971,3534.219971,3428970000
10/13/2020,3534.01001,3534.01001,3500.860107,3511.929932,3511.929932,3605150000
10/14/2020,3515.469971,3527.939941,3480.550049,3488.669922,3488.669922,3840630000
10/15/2020,3453.719971,3489.080078,3440.889893,3483.340088,3483.340088,3717640000
10/16/2020,3493.5,3515.76001,3480.449951,3483.810059,3483.810059,4675890000
10/19/2020,3493.659912,3502.419922,3419.929932,3426.919922,3426.919922,4086200000
10/20/2020,3439.379883,3476.929932,3435.649902,3443.120117,3443.120117,3901260000
10/21/2020,3439.909912,3464.860107,3433.060059,3435.560059,3435.560059,4097750000
10/22/2020,3438.5,3460.530029,3415.340088,3453.48999,3453.48999,4163630000
10/23/2020,3464.899902,3466.459961,3440.449951,3465.389893,3465.389893,3646570000
10/26/2020,3441.419922,3441.419922,3364.860107,3400.969971,3400.969971,3988080000
10/27/2020,3403.149902,3409.51001,3388.709961,3390.679932,3390.679932,3946990000
10/28/2020,3342.47998,3342.47998,3268.889893,3271.030029,3271.030029,5129860000
10/29/2020,3277.169922,3341.050049,3259.820068,3310.110107,3310.110107,4903070000
10/30/2020,3293.590088,3304.929932,3233.939941,3269.959961,3269.959961,4840450000
11/2/2020,3296.199951,3330.139893,3279.73999,3310.23999,3310.23999,4310590000
11/3/2020,3336.25,3389.48999,3336.25,3369.159912,3369.159912,4220070000
11/4/2020,3406.459961,3486.25,3405.169922,3443.439941,3443.439941,4783040000
11/5/2020,3485.73999,3529.050049,3485.73999,3510.449951,3510.449951,4841190000
11/6/2020,3508.340088,3521.580078,3484.340088,3509.439941,3509.439941,4833950000
11/9/2020,3583.040039,3645.98999,3547.47998,3550.5,3550.5,8556610000
11/10/2020,3543.26001,3557.219971,3511.909912,3545.530029,3545.530029,6024230000
11/11/2020,3563.219971,3581.159912,3557,3572.659912,3572.659912,4609970000
11/12/2020,3562.669922,3569.02002,3518.580078,3537.01001,3537.01001,4890120000
11/13/2020,3552.570068,3593.659912,3552.570068,3585.149902,3585.149902,4709670000
11/16/2020,3600.159912,3628.51001,3600.159912,3626.909912,3626.909912,5281980000
11/17/2020,3610.310059,3623.110107,3588.679932,3609.530029,3609.530029,4799570000
11/18/2020,3612.090088,3619.090088,3567.330078,3567.790039,3567.790039,5274450000
11/19/2020,3559.409912,3585.219971,3543.840088,3581.870117,3581.870117,4347200000
11/20/2020,3579.310059,3581.22998,3556.850098,3557.540039,3557.540039,4218970000
11/23/2020,3566.820068,3589.810059,3552.77002,3577.590088,3577.590088,5036290000
11/24/2020,3594.52002,3642.310059,3594.52002,3635.409912,3635.409912,6267570000
11/25/2020,3635.5,3635.5,3617.76001,3629.649902,3629.649902,4902560000
11/27/2020,3638.550049,3644.310059,3629.330078,3638.350098,3638.350098,2778450000
11/30/2020,3634.179932,3634.179932,3594.389893,3621.629883,3621.629883,6291400000
12/1/2020,3645.87,3678.45,3645.87,3662.45,3662.45,5403660000
